project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_a1e0;sarima;0;2808118.26473;None;2604504.04579;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_a1e0;sarima;1;2399237.3441;None;1988468.04234;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (0, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 0, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_a1e0;sarimaX;0;2808118.26473;None;1527093.64549;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
project_a1e0;sarimaX;1;2399237.3441;None;1622104.31154;{'k_ma': 2, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 0, 2), 'enforce_stationarity': False}
