project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_1074;sarima;0;1036275.24672;None;5446589.12498;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_1074;sarima;1;1150940.54643;None;1304045.70063;{'k_ma': 1, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_1074;sarimaX;0;1036275.24672;None;5606428.4402;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
project_1074;sarimaX;1;1150940.54643;None;1114887.09889;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 0, 1), 'enforce_stationarity': False}
