project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_6d8c;sarima;0;1377727.62477;None;1124223.45042;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (1, 0, 1, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 7, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_6d8c;sarima;1;1363785.44824;None;1229677.3183;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (1, 0, 1, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 7, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 0, 'order': (0, 1, 2), 'enforce_stationarity': False}
project_6d8c;sarimaX;0;1377727.62477;None;1077823.49834;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (1, 0, 1, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
project_6d8c;sarimaX;1;1363785.44824;None;1435804.00591;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 0, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 7, 'seasonal_order': (1, 0, 1, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': True, 'k_ar_params': 0, 'order': (0, 1, 1), 'enforce_stationarity': False}
