project;model;test;baseline_previous;baseline_averages;sarimax;sarimax_params
project_6d8c;sarima;0;1377727.62477;None;1121532.03159;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 7, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 2, 'order': (2, 1, 2), 'enforce_stationarity': False}
project_6d8c;sarima;1;1363785.44824;None;1019324.03414;{'k_ma': 2, 'k_exog': 0, 'measurement_error': False, 'k_ar': 2, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': False, 'simple_differencing': False, 'time_varying_regression': False, 'k_seasonal_ma': 0, 'seasonal_order': (1, 0, 0, 7), 'k_seasonal_diff': 0, 'k_ma_params': 2, 'k_seasonal_ar': 7, 'k_diff': 1, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 2, 'order': (2, 1, 2), 'enforce_stationarity': False}
project_6d8c;sarimaX;0;1377727.62477;None;1101515.44999;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 7, 'seasonal_order': (1, 0, 1, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
project_6d8c;sarimaX;1;1363785.44824;None;1254015.96341;{'k_ma': 1, 'k_exog': 3, 'measurement_error': False, 'k_ar': 1, 'trend': None, 'k_trend': 0, 'hamilton_representation': False, 'state_regression': True, 'simple_differencing': False, 'time_varying_regression': True, 'k_seasonal_ma': 7, 'seasonal_order': (1, 0, 1, 7), 'k_seasonal_diff': 0, 'k_ma_params': 1, 'k_seasonal_ar': 7, 'k_diff': 0, 'seasonal_periods': 7, 'enforce_invertibility': False, 'mle_regression': False, 'k_ar_params': 1, 'order': (1, 0, 1), 'enforce_stationarity': False}
